"project","plot","subplot","DCM.cat","ABMC.cat","StdAge"
"chrono","chrono_GC872","chrono_GC872_20","mixed","mixed",NA
"chrono","chrono_GC872","chrono_GC872_40","conifer","conifer",NA
"chrono","chrono_GC872","chrono_GC872_60","conifer","conifer",NA
"chrono","chrono_GC872","chrono_GC872_80","mixed","mixed",NA
"chrono","chrono_GC873","chrono_GC873_100","deciduous","aspen",21
"chrono","chrono_GC873","chrono_GC873_20","mixed","mixed",NA
"chrono","chrono_GC873","chrono_GC873_40","mixed","mixed",NA
"chrono","chrono_GC873","chrono_GC873_60","deciduous","aspen",NA
"chrono","chrono_GC873","chrono_GC873_80","deciduous","aspen",21
"chrono","chrono_GC874","chrono_GC874_100","conifer","conifer",21
"chrono","chrono_GC874","chrono_GC874_20","conifer","conifer",21
"chrono","chrono_GC874","chrono_GC874_40","conifer","conifer",NA
"chrono","chrono_GC874","chrono_GC874_60","deciduous","aspen",21
"chrono","chrono_GC874","chrono_GC874_80","deciduous","aspen",NA
"chrono","chrono_GM542","chrono_GM542_100","mixed","mixed",NA
"chrono","chrono_GM542","chrono_GM542_20","mixed","mixed",NA
"chrono","chrono_GM542","chrono_GM542_40","deciduous","aspen",NA
"chrono","chrono_GM542","chrono_GM542_60","mixed","mixed",NA
"chrono","chrono_GM542","chrono_GM542_80","deciduous","aspen",NA
"chrono","chrono_GS661","chrono_GS661_100","conifer","conifer",43
"chrono","chrono_GS661","chrono_GS661_20","conifer","conifer",43
"chrono","chrono_GS661","chrono_GS661_40","conifer","conifer",43
"chrono","chrono_GS661","chrono_GS661_60","conifer","conifer",43
"chrono","chrono_GS661","chrono_GS661_80","conifer","conifer",43
"chrono","chrono_GS662","chrono_GS662_100","conifer","conifer",NA
"chrono","chrono_GS662","chrono_GS662_20","conifer","conifer",NA
"chrono","chrono_GS662","chrono_GS662_40","conifer","conifer",NA
"chrono","chrono_GS662","chrono_GS662_60","conifer","conifer",NA
"chrono","chrono_GS662","chrono_GS662_80","conifer","conifer",NA
"chrono","chrono_GS663","chrono_GS663_100","conifer","conifer",43
"chrono","chrono_GS663","chrono_GS663_20","conifer","conifer",43
"chrono","chrono_GS663","chrono_GS663_40","conifer","conifer",43
"chrono","chrono_GS663","chrono_GS663_60","conifer","conifer",43
"chrono","chrono_GS663","chrono_GS663_80","conifer","conifer",43
"chrono","chrono_HF581","chrono_HF581_100","mixed","mixed",50
"chrono","chrono_HF581","chrono_HF581_20","conifer","conifer",50
"chrono","chrono_HF581","chrono_HF581_40","conifer","conifer",50
"chrono","chrono_HF581","chrono_HF581_60","conifer","conifer",50
"chrono","chrono_HF581","chrono_HF581_80","mixed","mixed",50
"chrono","chrono_LG581","chrono_LG581_100","deciduous","aspen",NA
"chrono","chrono_LG581","chrono_LG581_20","deciduous","birch",NA
"chrono","chrono_LG581","chrono_LG581_40","deciduous","birch",NA
"chrono","chrono_LG581","chrono_LG581_60","deciduous","birch",NA
"chrono","chrono_LG581","chrono_LG581_80","deciduous","birch",NA
"chrono","chrono_LG582","chrono_LG582_100","conifer","conifer",NA
"chrono","chrono_LG582","chrono_LG582_20","conifer","conifer",NA
"chrono","chrono_LG582","chrono_LG582_40","conifer","conifer",NA
"chrono","chrono_LG582","chrono_LG582_60","conifer","conifer",NA
"chrono","chrono_LG582","chrono_LG582_80","conifer","conifer",NA
"chrono","chrono_LG583","chrono_LG583_100","deciduous","birch",NA
"chrono","chrono_LG583","chrono_LG583_20","deciduous","birch",NA
"chrono","chrono_LG583","chrono_LG583_40","deciduous","birch",NA
"chrono","chrono_LG583","chrono_LG583_60","mixed","mixed",NA
"chrono","chrono_LG583","chrono_LG583_80","conifer","conifer",NA
"chrono","chrono_MATDEC1","chrono_MATDEC1_100","deciduous","aspen",84
"chrono","chrono_MATDEC1","chrono_MATDEC1_20","deciduous","aspen",84
"chrono","chrono_MATDEC1","chrono_MATDEC1_40","deciduous","aspen",84
"chrono","chrono_MATDEC1","chrono_MATDEC1_60","deciduous","aspen",84
"chrono","chrono_MATDEC1","chrono_MATDEC1_80","deciduous","aspen",84
"chrono","chrono_MATDEC2","chrono_MATDEC2_100","deciduous","birch",74
"chrono","chrono_MATDEC2","chrono_MATDEC2_20","deciduous","birch",74
"chrono","chrono_MATDEC2","chrono_MATDEC2_40","deciduous","birch",74
"chrono","chrono_MATDEC2","chrono_MATDEC2_60","deciduous","birch",74
"chrono","chrono_MATDEC3","chrono_MATDEC3_100","deciduous","birch",87
"chrono","chrono_MATDEC3","chrono_MATDEC3_20","deciduous","birch",87
"chrono","chrono_MATDEC3","chrono_MATDEC3_40","deciduous","birch",87
"chrono","chrono_MATDEC3","chrono_MATDEC3_60","deciduous","birch",87
"chrono","chrono_MATDEC3","chrono_MATDEC3_80","deciduous","birch",87
"chrono","chrono_MATDEC4","chrono_MATDEC4_100","mixed","mixed",70
"chrono","chrono_MATDEC4","chrono_MATDEC4_20","deciduous","birch",70
"chrono","chrono_MATDEC4","chrono_MATDEC4_60","deciduous","birch",70
"chrono","chrono_MATDEC4","chrono_MATDEC4_80","mixed","mixed",70
"chrono","chrono_MATDEC5","chrono_MATDEC5_100","deciduous","aspen",120
"chrono","chrono_MATDEC5","chrono_MATDEC5_20","deciduous","aspen",120
"chrono","chrono_MATDEC5","chrono_MATDEC5_40","deciduous","aspen",120
"chrono","chrono_MATDEC5","chrono_MATDEC5_60","deciduous","aspen",120
"chrono","chrono_MATDEC5","chrono_MATDEC5_80","deciduous","aspen",120
"chrono","chrono_MD581","chrono_MD581_100","deciduous","birch",51
"chrono","chrono_MD581","chrono_MD581_20","deciduous","birch",51
"chrono","chrono_MD581","chrono_MD581_40","deciduous","birch",51
"chrono","chrono_MD581","chrono_MD581_60","deciduous","birch",51
"chrono","chrono_MD581","chrono_MD581_80","deciduous","birch",51
"chrono","chrono_MD582","chrono_MD582_100","mixed","mixed",51
"chrono","chrono_MD582","chrono_MD582_20","conifer","conifer",51
"chrono","chrono_MD582","chrono_MD582_40","mixed","mixed",51
"chrono","chrono_MD582","chrono_MD582_60","deciduous","birch",51
"chrono","chrono_MD582","chrono_MD582_80","mixed","mixed",51
"chrono","chrono_MD583","chrono_MD583_100","conifer","conifer",51
"chrono","chrono_MD583","chrono_MD583_20","conifer","conifer",51
"chrono","chrono_MD583","chrono_MD583_40","conifer","conifer",51
"chrono","chrono_MD583","chrono_MD583_60","conifer","conifer",51
"chrono","chrono_MD583","chrono_MD583_80","conifer","conifer",51
"chrono","chrono_MF831","chrono_MF831_100","deciduous","aspen",26
"chrono","chrono_MF831","chrono_MF831_20","deciduous","aspen",26
"chrono","chrono_MF831","chrono_MF831_40","deciduous","aspen",26
"chrono","chrono_MF831","chrono_MF831_60","deciduous","aspen",26
"chrono","chrono_MF831","chrono_MF831_80","deciduous","aspen",26
"chrono","chrono_MF832","chrono_MF832_100","conifer","conifer",NA
"chrono","chrono_MF832","chrono_MF832_20","conifer","conifer",26
"chrono","chrono_MF832","chrono_MF832_40","conifer","conifer",NA
"chrono","chrono_MF832","chrono_MF832_80","conifer","conifer",NA
"chrono","chrono_MF833","chrono_MF833_100","deciduous","aspen",26
"chrono","chrono_MF833","chrono_MF833_20","deciduous","aspen",26
"chrono","chrono_MF833","chrono_MF833_40","deciduous","aspen",26
"chrono","chrono_MF833","chrono_MF833_60","deciduous","aspen",26
"chrono","chrono_MF833","chrono_MF833_80","mixed","mixed",26
"chrono","chrono_RF831","chrono_RF831_100","conifer","conifer",NA
"chrono","chrono_RF831","chrono_RF831_20","mixed","mixed",NA
"chrono","chrono_RF831","chrono_RF831_40","mixed","mixed",25
"chrono","chrono_RF831","chrono_RF831_60","mixed","mixed",25
"chrono","chrono_RF831","chrono_RF831_80","conifer","conifer",NA
"chrono","chrono_RF832","chrono_RF832_100","conifer","conifer",NA
"chrono","chrono_RF832","chrono_RF832_20","conifer","conifer",25
"chrono","chrono_RF832","chrono_RF832_40","conifer","conifer",25
"chrono","chrono_RF832","chrono_RF832_80","conifer","conifer",25
"chrono","chrono_RF833","chrono_RF833_100","conifer","conifer",NA
"chrono","chrono_RF833","chrono_RF833_20","conifer","conifer",NA
"chrono","chrono_RF833","chrono_RF833_40","conifer","conifer",NA
"chrono","chrono_RF833","chrono_RF833_60","conifer","conifer",25
"chrono","chrono_RF833","chrono_RF833_80","conifer","conifer",25
"chrono","chrono_SC871","chrono_SC871_100","conifer","conifer",NA
"chrono","chrono_SC871","chrono_SC871_20","conifer","conifer",22
"chrono","chrono_SC871","chrono_SC871_40","conifer","conifer",22
"chrono","chrono_SC871","chrono_SC871_60","conifer","conifer",22
"chrono","chrono_SC871","chrono_SC871_80","conifer","conifer",NA
"chrono","chrono_SC872","chrono_SC872_100","deciduous","aspen",22
"chrono","chrono_SC872","chrono_SC872_20","deciduous","aspen",22
"chrono","chrono_SC872","chrono_SC872_40","deciduous","birch",22
"chrono","chrono_SC872","chrono_SC872_60","deciduous","aspen",22
"chrono","chrono_SC872","chrono_SC872_80","deciduous","aspen",22
"chrono","chrono_SC873","chrono_SC873_100","mixed","mixed",NA
"chrono","chrono_SC873","chrono_SC873_20","conifer","conifer",22
"chrono","chrono_SC873","chrono_SC873_40","mixed","mixed",22
"chrono","chrono_SC873","chrono_SC873_60","mixed","mixed",22
"chrono","chrono_SC873","chrono_SC873_80","mixed","mixed",NA
"chrono","chrono_SM571","chrono_SM571_100","conifer","conifer",52
"chrono","chrono_SM571","chrono_SM571_20","mixed","mixed",52
"chrono","chrono_SM571","chrono_SM571_40","conifer","conifer",52
"chrono","chrono_SM571","chrono_SM571_60","conifer","conifer",52
"chrono","chrono_SM571","chrono_SM571_80","mixed","mixed",52
"chrono","chrono_SM572","chrono_SM572_100","conifer","conifer",52
"chrono","chrono_SM572","chrono_SM572_20","conifer","conifer",52
"chrono","chrono_SM572","chrono_SM572_40","conifer","conifer",52
"chrono","chrono_SM572","chrono_SM572_60","conifer","conifer",52
"chrono","chrono_SM572","chrono_SM572_80","conifer","conifer",52
"chrono","chrono_SM573","chrono_SM573_100","conifer","conifer",NA
"chrono","chrono_SM573","chrono_SM573_20","conifer","conifer",NA
"chrono","chrono_SM573","chrono_SM573_40","conifer","conifer",NA
"chrono","chrono_SM573","chrono_SM573_60","conifer","conifer",NA
"chrono","chrono_SM573","chrono_SM573_80","conifer","conifer",NA
"chrono","chrono_SMNA2","chrono_SMNA2_100","conifer","conifer",NA
"chrono","chrono_TR901","chrono_TR901_100","deciduous","aspen",20
"chrono","chrono_TR901","chrono_TR901_20","deciduous","aspen",20
"chrono","chrono_TR901","chrono_TR901_40","deciduous","aspen",20
"chrono","chrono_TR901","chrono_TR901_80","deciduous","aspen",20
"chrono","chrono_TR902","chrono_TR902_100","conifer","conifer",NA
"chrono","chrono_TR902","chrono_TR902_20","conifer","conifer",20
"chrono","chrono_TR902","chrono_TR902_40","conifer","conifer",20
"chrono","chrono_TR902","chrono_TR902_60","conifer","conifer",20
"chrono","chrono_TR902","chrono_TR902_80","conifer","conifer",20
"chrono","chrono_TR903","chrono_TR903_100","conifer","conifer",NA
"chrono","chrono_TR903","chrono_TR903_20","mixed","mixed",NA
"chrono","chrono_TR903","chrono_TR903_40","mixed","mixed",NA
"chrono","chrono_TR903","chrono_TR903_60","mixed","mixed",NA
"chrono","chrono_TR903","chrono_TR903_80","deciduous","aspen",NA
"chrono","chrono_UBHW1","chrono_UBHW1_100","deciduous","birch",NA
"chrono","chrono_UBHW1","chrono_UBHW1_20","deciduous","birch",NA
"chrono","chrono_UBHW1","chrono_UBHW1_40","deciduous","birch",NA
"chrono","chrono_UBHW1","chrono_UBHW1_80","deciduous","birch",NA
"chrono","chrono_WD781","chrono_WD781_100","deciduous","birch",31
"chrono","chrono_WD781","chrono_WD781_20","deciduous","birch",31
"chrono","chrono_WD781","chrono_WD781_40","deciduous","birch",31
"chrono","chrono_WD781","chrono_WD781_60","deciduous","birch",31
"chrono","chrono_WD781","chrono_WD781_80","deciduous","birch",31
"chrono","chrono_WD782","chrono_WD782_100","conifer","conifer",31
"chrono","chrono_WD782","chrono_WD782_20","conifer","conifer",NA
"chrono","chrono_WD782","chrono_WD782_40","mixed","mixed",31
"chrono","chrono_WD782","chrono_WD782_60","conifer","conifer",31
"chrono","chrono_WD782","chrono_WD782_80","conifer","conifer",31
"chrono","chrono_WD783","chrono_WD783_100","deciduous","aspen",31
"chrono","chrono_WD783","chrono_WD783_20","conifer","conifer",NA
"chrono","chrono_WD783","chrono_WD783_40","deciduous","aspen",31
"chrono","chrono_WD783","chrono_WD783_60","mixed","mixed",31
"chrono","chrono_WD783","chrono_WD783_80","mixed","mixed",31
"chrono","chrono_WD784","chrono_WD784_100","conifer","conifer",31
"chrono","chrono_WD784","chrono_WD784_20","conifer","conifer",31
"chrono","chrono_WD784","chrono_WD784_40","deciduous","aspen",31
"chrono","chrono_WD784","chrono_WD784_60","mixed","mixed",31
"chrono","chrono_WD784","chrono_WD784_80","mixed","mixed",31
"chrono","chrono_WD785","chrono_WD785_100","conifer","conifer",NA
"chrono","chrono_WD785","chrono_WD785_20","conifer","conifer",NA
"chrono","chrono_WD785","chrono_WD785_40","conifer","conifer",NA
"chrono","chrono_WD785","chrono_WD785_60","conifer","conifer",NA
"chrono","chrono_WD785","chrono_WD785_80","conifer","conifer",31
"chrono","chrono_WD786","chrono_WD786_100","conifer","conifer",31
"chrono","chrono_WD786","chrono_WD786_20","conifer","conifer",31
"chrono","chrono_WD786","chrono_WD786_40","conifer","conifer",31
"chrono","chrono_WD786","chrono_WD786_80","conifer","conifer",31
"chrono","chrono_WD787","chrono_WD787_100","mixed","mixed",NA
"chrono","chrono_WD787","chrono_WD787_20","mixed","mixed",31
"chrono","chrono_WD787","chrono_WD787_40","deciduous","birch",31
"chrono","chrono_WD787","chrono_WD787_60","conifer","conifer",NA
"chrono","chrono_WD787","chrono_WD787_80","conifer","conifer",NA
"chrono","chrono_WF711","chrono_WF711_100","conifer","conifer",37
"chrono","chrono_WF711","chrono_WF711_20","conifer","conifer",37
"chrono","chrono_WF711","chrono_WF711_40","conifer","conifer",NA
"chrono","chrono_WF711","chrono_WF711_80","conifer","conifer",NA
"chrono","chrono_WF712","chrono_WF712_100","deciduous","birch",37
"chrono","chrono_WF712","chrono_WF712_20","deciduous","aspen",37
"chrono","chrono_WF712","chrono_WF712_40","deciduous","aspen",37
"chrono","chrono_WF712","chrono_WF712_60","mixed","mixed",37
"chrono","chrono_WF712","chrono_WF712_80","mixed","mixed",37
"chrono","chrono_WF713","chrono_WF713_100","conifer","conifer",NA
"chrono","chrono_WF713","chrono_WF713_20","mixed","mixed",37
"chrono","chrono_WF713","chrono_WF713_40","conifer","conifer",NA
"chrono","chrono_WF713","chrono_WF713_60","conifer","conifer",NA
"chrono","chrono_WF713","chrono_WF713_80","conifer","conifer",NA
"chrono","chrono_WF714","chrono_WF714_100","conifer","conifer",NA
"chrono","chrono_WF714","chrono_WF714_20","deciduous","birch",NA
"chrono","chrono_WF714","chrono_WF714_40","deciduous","birch",NA
"chrono","chrono_WF714","chrono_WF714_60","deciduous","aspen",NA
"chrono","chrono_WF714","chrono_WF714_80","deciduous","aspen",NA
