"","UniqueID","DATE","YEAR","SITE","PLOT","TREE","SPECIES","DBH","DA","TOP","LEAN","BOWED","DOWN","First_Year","Sampled_Years","SiteSeriesNumber","SiteSeriesTotal","NOTES","OfficeNotes"
"20","BDI2_4_872","6/26/2018",2018,"BDI2","4","872","PICMAR",2.5,1,"-99",1,1,"1",2014,"2014, 2018",2,2,"",""
"21","BDI2_4_873","6/26/2018",2018,"BDI2","4","873","BETNEO",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"22","BDI2_4_874","6/26/2018",2018,"BDI2","4","874","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"23","BDI2_4_875","6/26/2018",2018,"BDI2","4","875","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"24","BDI3_1_506","6/27/2018",2018,"BDI3","1","506","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"25","BDI3_1_507","6/27/2018",2018,"BDI3","1","507","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"26","BDI3_1_508","6/27/2018",2018,"BDI3","1","508","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"27","BDI3_1_509","6/27/2018",2018,"BDI3","1","509","PICMAR",3.2,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"28","BDI3_1_513","6/27/2018",2018,"BDI3","1","513","PICMAR",2.9,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"29","BDI3_1_882","6/27/2018",2018,"BDI3","1","882","PICMAR",2.9,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"30","BDI3_1_883","6/27/2018",2018,"BDI3","1","883","PICMAR",2.9,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"31","BDI3_1_884","6/27/2018",2018,"BDI3","1","884","PICMAR",2.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"32","BDI3_1_887","6/27/2018",2018,"BDI3","1","887","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"33","BDI3_2_510","6/27/2018",2018,"BDI3","2","510","PICMAR",3.1,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"34","BDI3_2_888","6/27/2018",2018,"BDI3","2","888","PICMAR",2.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"35","BDI3_2_889","6/27/2018",2018,"BDI3","2","889","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"36","BDI3_2_890","6/27/2018",2018,"BDI3","2","890","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"37","BDI3_2_891","6/27/2018",2018,"BDI3","2","891","PICMAR",2.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"38","BDI3_2_892","6/27/2018",2018,"BDI3","2","892","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"39","BDI3_2_893","6/27/2018",2018,"BDI3","2","893","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"40","BDI3_2_894","6/27/2018",2018,"BDI3","2","894","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"41","BDI3_2_895","6/27/2018",2018,"BDI3","2","895","PICMAR",3.9,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"42","BDI3_2_896","6/27/2018",2018,"BDI3","2","896","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"43","BDI3_2_897","6/27/2018",2018,"BDI3","2","897","PICMAR",3.3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"44","BDI3_2_898","6/27/2018",2018,"BDI3","2","898","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"45","BDI3_3_511","6/27/2018",2018,"BDI3","3","511","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"46","BDI3_3_512","6/27/2018",2018,"BDI3","3","512","PICMAR",3.1,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"47","BDI3_3_901","6/27/2018",2018,"BDI3","3","901","PICMAR",2.9,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"48","BDI3_3_902","6/27/2018",2018,"BDI3","3","902","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"49","BDI3_3_903","6/27/2018",2018,"BDI3","3","903","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"50","BDI3_3_904","6/27/2018",2018,"BDI3","3","904","PICMAR",2.9,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"51","BDI3_3_905","6/27/2018",2018,"BDI3","3","905","PICMAR",3.2,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"52","BDI3_3_906","6/27/2018",2018,"BDI3","3","906","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"53","BDI3_3_907","6/27/2018",2018,"BDI3","3","907","PICMAR",3.1,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"54","BDI3_3_908","6/27/2018",2018,"BDI3","3","908","PICMAR",3.1,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"55","BDI3_3_909","6/27/2018",2018,"BDI3","3","909","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"56","BDI3_4_514","6/27/2018",2018,"BDI3","4","514","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"57","BDI3_4_515","6/27/2018",2018,"BDI3","4","515","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"58","BDI3_4_910","6/27/2018",2018,"BDI3","4","910","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"59","BDI3_4_911","6/27/2018",2018,"BDI3","4","911","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"60","BDI3_4_912","6/27/2018",2018,"BDI3","4","912","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"61","BDI3_4_913","6/27/2018",2018,"BDI3","4","913","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"62","BDI3_6_516","6/27/2018",2018,"BDI3","6","516","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"63","BDI3_6_914","6/27/2018",2018,"BDI3","6","914","PICMAR",2.9,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"64","BDI3_6_915","6/27/2018",2018,"BDI3","6","915","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"65","BDI3_7_916","6/27/2018",2018,"BDI3","7","916","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"66","BDI3_7_917","6/27/2018",2018,"BDI3","7","917","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"67","BDI3_7_918","6/27/2018",2018,"BDI3","7","918","PICMAR",2.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"68","BDI3_8_919","6/27/2018",2018,"BDI3","8","919","PICMAR",3.2,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"69","BDI3_8_920","6/27/2018",2018,"BDI3","8","920","PICMAR",3.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"70","BDI3_9_517","6/27/2018",2018,"BDI3","9","517","PICMAR",3.2,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"71","BDI3_9_921","6/27/2018",2018,"BDI3","9","921","PICMAR",3.2,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"72","BDI3_9_922","6/27/2018",2018,"BDI3","9","922","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"73","BDI3_9_923","6/27/2018",2018,"BDI3","9","923","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"74","BDI3_9_924","6/27/2018",2018,"BDI3","9","924","PICMAR",3.2,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"75","BDI3_11_518","6/27/2018",2018,"BDI3","11","518","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"76","BDI3_11_519","6/27/2018",2018,"BDI3","11","519","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"77","BDI3_11_520","6/27/2018",2018,"BDI3","11","520","PICMAR",2.9,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"78","BDI3_11_521","6/27/2018",2018,"BDI3","11","521","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"79","BDI3_11_522","6/27/2018",2018,"BDI3","11","522","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"80","BDI3_11_523","6/27/2018",2018,"BDI3","11","523","PICMAR",3.4,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"81","BDI3_11_524","6/27/2018",2018,"BDI3","11","524","PICMAR",2.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"82","BDI3_11_525","6/27/2018",2018,"BDI3","11","525","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"83","BDI3_11_526","6/27/2018",2018,"BDI3","11","526","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"84","BDI3_11_527","6/27/2018",2018,"BDI3","11","527","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"85","BDI3_11_528","6/27/2018",2018,"BDI3","11","528","PICMAR",2.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"86","BDI3_12_529","6/27/2018",2018,"BDI3","12","529","PICMAR",2.9,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"87","BDI3_12_530","6/27/2018",2018,"BDI3","12","530","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"88","BDI3_12_531","6/27/2018",2018,"BDI3","12","531","PICMAR",3.2,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"89","BDI3_12_532","6/27/2018",2018,"BDI3","12","532","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"90","BDI3_12_533","6/27/2018",2018,"BDI3","12","533","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"91","BDI3_12_534","6/27/2018",2018,"BDI3","12","534","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"92","BDI3_12_535","6/27/2018",2018,"BDI3","12","535","PICMAR",2.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"93","BDI3_12_536","6/27/2018",2018,"BDI3","12","536","PICMAR",2.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"94","BDI3_12_537","6/27/2018",2018,"BDI3","12","537","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"95","BDI3_13_538","6/27/2018",2018,"BDI3","13","538","PICMAR",2.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"96","BDI3_13_539","6/27/2018",2018,"BDI3","13","539","PICMAR",3.1,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"97","BDI3_13_925","6/27/2018",2018,"BDI3","13","925","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"98","BDI3_13_926","6/27/2018",2018,"BDI3","13","926","PICMAR",2.9,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"99","BDI3_14_540","6/27/2018",2018,"BDI3","14","540","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"100","BDI3_14_927","6/27/2018",2018,"BDI3","14","927","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"101","BDI3_14_928","6/27/2018",2018,"BDI3","14","928","PICMAR",2.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"102","BDI3_14_929","6/27/2018",2018,"BDI3","14","929","PICMAR",3.3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"103","BDI4_1_541","6/27/2018",2018,"BDI4","1","541","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"104","BDI4_1_542","6/27/2018",2018,"BDI4","1","542","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"105","BDI4_1_930","6/27/2018",2018,"BDI4","1","930","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"106","BDI4_1_931","6/27/2018",2018,"BDI4","1","931","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"107","BDI4_1_932","6/27/2018",2018,"BDI4","1","932","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"108","BDI4_2_933","6/27/2018",2018,"BDI4","2","933","PICMAR",3.1,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"109","BDI4_2_934","6/27/2018",2018,"BDI4","2","934","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"110","BDI4_3_935","6/27/2018",2018,"BDI4","3","935","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"111","BDI4_3_936","6/27/2018",2018,"BDI4","3","936","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"112","BDI4_3_937","6/27/2018",2018,"BDI4","3","937","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"113","BDI4_3_938","6/27/2018",2018,"BDI4","3","938","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"114","BDI4_4_543","6/27/2018",2018,"BDI4","4","543","BETNEO",3.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"115","BDI4_4_939","6/27/2018",2018,"BDI4","4","939","PICMAR",3.4,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"116","BDI4_4_940","6/27/2018",2018,"BDI4","4","940","PICMAR",3.2,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"117","BDI4_4_941","6/27/2018",2018,"BDI4","4","941","PICMAR",3.4,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"118","BDI4_6_544","6/27/2018",2018,"BDI4","6","544","PICMAR",3.3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"119","BDI4_6_545","6/27/2018",2018,"BDI4","6","545","PICMAR",3.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"120","BDI4_6_546","6/27/2018",2018,"BDI4","6","546","PICMAR",2.8,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"121","BDI4_6_547","6/27/2018",2018,"BDI4","6","547","PICMAR",3.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"122","BDI4_6_942","6/27/2018",2018,"BDI4","6","942","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"123","BDI4_6_943","6/27/2018",2018,"BDI4","6","943","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"124","BDI4_6_944","6/27/2018",2018,"BDI4","6","944","PICMAR",3.3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"125","BDI4_6_945","6/27/2018",2018,"BDI4","6","945","PICMAR",2.9,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"126","BDI4_7_946","6/27/2018",2018,"BDI4","7","946","BETNEO",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"127","BDI4_7_947","6/27/2018",2018,"BDI4","7","947","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"128","BDI4_7_948","6/27/2018",2018,"BDI4","7","948","PICMAR",3.3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"129","BDI4_8_548","6/27/2018",2018,"BDI4","8","548","PICMAR",2.6,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"130","BDI4_8_949","6/27/2018",2018,"BDI4","8","949","PICMAR",3.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"131","BDI4_8_950","6/27/2018",2018,"BDI4","8","950","PICMAR",3.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"132","BDI4_8_951","6/27/2018",2018,"BDI4","8","951","BETNEO",2.9,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"133","BDI4_8_952","6/27/2018",2018,"BDI4","8","952","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"134","BDI4_8_953","6/27/2018",2018,"BDI4","8","953","PICMAR",3.3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"135","BDI4_8_954","6/27/2018",2018,"BDI4","8","954","PICMAR",3.2,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"136","BDI4_8_955","6/27/2018",2018,"BDI4","8","955","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"137","BDI4_8_956","6/27/2018",2018,"BDI4","8","956","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"138","BDI4_9_957","6/27/2018",2018,"BDI4","9","957","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"139","BDI4_9_958","6/27/2018",2018,"BDI4","9","958","PICMAR",3.2,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"140","BDI4_9_959","6/27/2018",2018,"BDI4","9","959","PICMAR",3.2,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"141","BDI4_9_960","6/27/2018",2018,"BDI4","9","960","PICMAR",3.3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"142","BDI4_9_961","6/27/2018",2018,"BDI4","9","961","PICMAR",3.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"143","BDI4_9_962","6/27/2018",2018,"BDI4","9","962","PICMAR",2.9,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"144","BDI4_9_963","6/27/2018",2018,"BDI4","9","963","PICMAR",2.7,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"145","BDI4_11_964","6/27/2018",2018,"BDI4","11","964","PICMAR",3.4,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"146","BDI4_11_965","6/27/2018",2018,"BDI4","11","965","PICMAR",3.4,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"147","BDI4_11_966","6/27/2018",2018,"BDI4","11","966","PICMAR",3.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"148","BDI4_11_967","6/27/2018",2018,"BDI4","11","967","PICMAR",3.1,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"149","BDI4_12_968","6/27/2018",2018,"BDI4","12","968","PICMAR",3.5,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"150","BDI4_13_549","6/27/2018",2018,"BDI4","13","549","PICMAR",3.3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"151","BDI4_14_550","6/27/2018",2018,"BDI4","14","550","PICMAR",3,1,"-99",0,1,"1",2014,"2014, 2018",2,2,"",""
"152","BDI4_6_487","9/12/2014",2014,"BDI4","6","487","POPTRE",3.9,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"153","BDI4_6_488","9/12/2014",2014,"BDI4","6","488","POPTRE",6.2,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"154","BDI4_6_489","9/12/2014",2014,"BDI4","6","489","POPTRE",6.2,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"155","BDI4_6_490","9/12/2014",2014,"BDI4","6","490","POPTRE",6.1,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"156","BDI4_6_491","9/12/2014",2014,"BDI4","6","491","POPTRE",8.2,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"157","BDI4_6_492","9/12/2014",2014,"BDI4","6","492","POPTRE",2.6,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"158","BDI4_6_493","9/12/2014",2014,"BDI4","6","493","POPTRE",5.4,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"159","BDI4_6_494","9/12/2014",2014,"BDI4","6","494","POPTRE",9.7,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"160","BDI4_6_495","9/12/2014",2014,"BDI4","6","495","POPTRE",5.7,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"161","BDI4_6_496","9/12/2014",2014,"BDI4","6","496","POPTRE",12.3,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"162","BDI4_6_497","9/12/2014",2014,"BDI4","6","497","POPTRE",2.9,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"163","BDI4_6_498","9/12/2014",2014,"BDI4","6","498","POPTRE",4.4,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"164","BDI4_6_499","9/12/2014",2014,"BDI4","6","499","POPTRE",3.4,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"165","BDI4_6_500","9/12/2014",2014,"BDI4","6","500","POPTRE",5.8,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"166","BDI4_14_923","9/12/2014",2014,"BDI4","14","923","BETNEO",5.4,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"167","BDI5_1_97","9/13/2014",2014,"BDI5","1","97","POPTRE",3.4,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"168","BDI5_1_100","9/13/2014",2014,"BDI5","1","100","POPTRE",4.8,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"169","BDI5_1_102","9/13/2014",2014,"BDI5","1","102","POPTRE",4.7,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"170","BDI5_1_104","9/13/2014",2014,"BDI5","1","104","POPTRE",2.5,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"171","BDI5_2_106","9/13/2014",2014,"BDI5","2","106","POPTRE",2.5,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"172","BDI5_2_107","9/13/2014",2014,"BDI5","2","107","POPTRE",4.3,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"173","BDI5_2_114","9/13/2014",2014,"BDI5","2","114","POPTRE",4.6,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"174","BDI5_2_116","9/13/2014",2014,"BDI5","2","116","POPTRE",3.3,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"175","BDI5_2_117","9/13/2014",2014,"BDI5","2","117","POPTRE",2.8,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"176","BDI5_2_118","9/13/2014",2014,"BDI5","2","118","POPTRE",3.5,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"177","BDI5_2_119","9/13/2014",2014,"BDI5","2","119","POPTRE",4.1,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"178","BDI5_2_120","9/13/2014",2014,"BDI5","2","120","POPTRE",4.6,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"179","BDI5_2_121","9/13/2014",2014,"BDI5","2","121","POPTRE",5.5,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"180","BDI5_2_122","9/13/2014",2014,"BDI5","2","122","POPTRE",3.3,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"181","BDI5_2_123","9/13/2014",2014,"BDI5","2","123","POPTRE",4.9,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"182","BDI5_2_126","9/13/2014",2014,"BDI5","2","126","POPTRE",4.7,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"183","BDI5_2_128","9/13/2014",2014,"BDI5","2","128","POPTRE",4.4,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"184","BDI5_2_130","9/13/2014",2014,"BDI5","2","130","POPTRE",2.6,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"185","BDI5_2_131","9/13/2014",2014,"BDI5","2","131","POPTRE",5.1,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
"186","BDI5_2_133","9/13/2014",2014,"BDI5","2","133","POPTRE",2.6,1,"-99",0,1,"1",2014,"2014, 2018",1,2,"",""
