UniqueID,DATE,DATE (new),SITE,PLOT,TREE,NEW TREE TAG,SPECIES,DBH,New DBH,DA,TOP,LEAN,BOWED,DOWN,New Notes,NOTES,Office Notes,DAMAGE,LOCATION,SEVERITY,,,,,,,,,
DCM13_869,8/19/2014,7/31/2024,DCM1,3,869,,PICMAR,6.3,-9999,0,-99,0,-9999,0,,,,,,,,,,,,,,,
DCM13_870,8/19/2014,7/31/2024,DCM1,3,870,,PICMAR,8.5,-9999,0,-99,0,-9999,0,,,,,,,,,,,,,,,
DCM13_871,8/19/2014,7/31/2024,DCM1,3,871,,PICGLA,5,6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM13_872,8/19/2014,7/31/2024,DCM1,3,872,,PICMAR,15.9,15.5,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM13_873,8/19/2014,7/31/2024,DCM1,3,873,,PICGLA,3.5,4.5,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM13_874,8/19/2014,7/31/2024,DCM1,3,874,,PICMAR,2.6,4,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM13_875,8/19/2014,7/31/2024,DCM1,3,875,,PICMAR,3.7,4.6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM13_876,8/19/2014,7/31/2024,DCM1,3,876,,PICMAR,9.1,10.3,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM13_877,8/19/2014,7/31/2024,DCM1,3,877,,PICGLA,13.4,14.4,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM13_878,8/19/2014,7/31/2024,DCM1,3,878,,PICMAR,6.5,7.7,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM13_879,8/19/2014,7/31/2024,DCM1,3,879,,PICMAR,11.8,13,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM13_880,8/19/2014,7/31/2024,DCM1,3,880,,PICMAR,10,10.7,1,5,0,-9999,1,,,,,,,,,,,,,,,
DCM13_881,8/19/2014,7/31/2024,DCM1,3,881,,PICMAR,9.1,9.7,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM13_882,8/19/2014,7/31/2024,DCM1,3,882,,PICGLA,7.2,8.5,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM13_883,8/19/2014,7/31/2024,DCM1,3,883,,PICMAR,4.5,6.7,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM13_884,8/19/2014,7/31/2024,DCM1,3,884,,PICGLA,2.8,3.7,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM13_885,8/19/2014,7/31/2024,DCM1,3,885,,PICMAR,8.8,-9999,0,-99,0,-9999,0,,,,,,,,,,,,,,,
DCM13_886,8/19/2014,7/31/2024,DCM1,3,886,,PICMAR,4,5.3,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM13_887,8/19/2014,7/31/2024,DCM1,3,887,,PICMAR,8.5,-7777,0,5,0,-9999,1,,,,,,,,,,,,,,,
DCM13_888,8/19/2014,7/31/2024,DCM1,3,888,,PICMAR,3.2,4.6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM13_889,8/19/2014,7/31/2024,DCM1,3,889,,PICMAR,8.8,-9999,0,-99,0,-9999,0,,,,,,,,,,,,,,,
DCM13_890,8/19/2014,7/31/2024,DCM1,3,890,,PICGLA,8.9,-9999,0,-99,0,-9999,0,,,,,,,,,,,,,,,
DCM13_891,8/19/2014,7/31/2024,DCM1,3,891,,PICMAR,2.5,3.9,1,-99,0,-9999,1,girdled,First tree in plot 4 is 892,,,,,,,,,,,,,
DCM14_892,8/19/2014,7/31/2024,DCM1,4,892,,PICMAR,9.9,-7777,0,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM14_893,8/19/2014,7/31/2024,DCM1,4,893,,PICMAR,2.9,4.7,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM14_894,8/19/2014,7/31/2024,DCM1,4,894,,PICMAR,2.9,4.1,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM14_895,8/19/2014,7/31/2024,DCM1,4,895,,PICGLA,14.3,15,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM14_896,8/19/2014,7/31/2024,DCM1,4,896,,PICGLA,6.6,7.9,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM14_897,8/19/2014,7/31/2024,DCM1,4,897,,PICMAR,3.5,4.3,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM14_898,8/19/2014,7/31/2024,DCM1,4,898,,PICMAR,4.6,6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM14_899,8/19/2014,7/31/2024,DCM1,4,899,,PICMAR,8.5,10,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM14_900,8/19/2014,7/31/2024,DCM1,4,900,,PICMAR,4.3,5.5,1,-99,0,-9999,1,,Next tree is 918. No trees 901-917,,,,,,,,,,,,,
DCM14_918,8/19/2014,7/31/2024,DCM1,4,918,,PICMAR,8.2,8.6,1,-99,0,-9999,1,,Previous tree was 900. No trees 901-917,,,,,,,,,,,,,
DCM14_919,8/19/2014,7/31/2024,DCM1,4,919,,PICMAR,6.6,8.3,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM14_920,8/19/2014,7/31/2024,DCM1,4,920,,PICMAR,6.3,-7777,0,2,0,-9999,1,,,,,,,,,,,,,,,
DCM14_921,8/19/2014,7/31/2024,DCM1,4,921,,PICMAR,4.4,6.3,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM14_922,8/19/2014,7/31/2024,DCM1,4,922,,PICMAR,5.2,-9999,0,-99,0,-9999,0,,,,,,,,,,,,,,,
DCM14_923,8/19/2014,7/31/2024,DCM1,4,923,,PICMAR,13.9,-9999,0,-99,0,-9999,0,,,,,,,,,,,,,,,
DCM14_924,8/19/2014,7/31/2024,DCM1,4,924,,PICMAR,2.8,4.3,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM14_925,8/19/2014,7/31/2024,DCM1,4,925,,PICMAR,11.3,12.8,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM14_926,8/19/2014,7/31/2024,DCM1,4,926,,PICMAR,2.9,4.2,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM14_927,8/19/2014,7/31/2024,DCM1,4,927,,PICGLA,5,5.7,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM14_928,8/19/2014,7/31/2024,DCM1,4,928,,PICMAR,9.1,9.4,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM14_929,8/19/2014,7/31/2024,DCM1,4,929,,PICMAR,4.8,6.5,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM14_930,8/19/2014,7/31/2024,DCM1,4,930,,PICGLA,6.9,8,1,-99,0,-9999,1,,First tree in plot 6 is 931.,,,,,,,,,,,,,
,,7/31/2024,DCM1,4,2757,,PICMAR,,3.1,1,-99,0,-9999,1,,,,,,,,,,,,,,,
,,7/31/2024,DCM1,4,2758,,PICMAR,,2.6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_931,8/19/2014,7/31/2024,DCM1,6,931,,PICGLA,11.6,12.6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_932,8/19/2014,7/31/2024,DCM1,6,932,,PICGLA,3.4,3.9,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_933,8/19/2014,7/31/2024,DCM1,6,933,,PICGLA,3.2,-7777,0,2,0,-9999,1,,,,,,,,,,,,,,,
DCM16_934,8/19/2014,7/31/2024,DCM1,6,934,,PICMAR,4.8,-9999,0,-99,0,-9999,0,no tag,,,,,,,,,,,,,,
DCM16_935,8/19/2014,7/31/2024,DCM1,6,935,,PICGLA,5.6,6.2,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_936,8/19/2014,7/31/2024,DCM1,6,936,,PICMAR,3.7,6.4,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_937,8/19/2014,7/31/2024,DCM1,6,937,,PICMAR,3.2,4.6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_938,8/19/2014,7/31/2024,DCM1,6,938,,PICMAR,15,-7777,0,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_939,8/19/2014,7/31/2024,DCM1,6,939,,PICGLA,8.8,9.5,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_940,8/19/2014,7/31/2024,DCM1,6,940,,PICGLA,5.4,6.8,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_941,8/19/2014,7/31/2024,DCM1,6,941,,PICMAR,12.3,-7777,0,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_942,8/19/2014,7/31/2024,DCM1,6,942,,PICMAR,10.1,10.8,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_943,8/19/2014,7/31/2024,DCM1,6,943,,PICMAR,9.5,10.2,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_944,8/19/2014,7/31/2024,DCM1,6,944,,PICMAR,11.8,12.4,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_945,8/19/2014,7/31/2024,DCM1,6,945,,PICMAR,4.5,5.6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_946,8/19/2014,7/31/2024,DCM1,6,946,,PICMAR,7.6,8.9,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_947,8/19/2014,7/31/2024,DCM1,6,947,,PICMAR,8.4,-7777,0,-99,0,-9999,1,no tag,,,,,,,,,,,,,,
DCM16_948,8/19/2014,7/31/2024,DCM1,6,948,,PICMAR,7.9,-7777,0,-99,0,-9999,1,no tag,,,,,,,,,,,,,,
DCM16_949,8/19/2014,7/31/2024,DCM1,6,949,,PICMAR,7.8,8.5,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_950,8/19/2014,7/31/2024,DCM1,6,950,,PICMAR,3,4.8,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM16_951,8/19/2014,7/31/2024,DCM1,6,951,,PICGLA,11,11.6,1,-99,0,-9999,1,,952 is first tree in plot 7,,,,,,,,,,,,,
,,7/31/2024,DCM1,6,2759,,PICMAR,,3.1,1,-99,0,-9999,1,,,,,,,,,,,,,,,
,,7/31/2024,DCM1,6,2760,,PICMAR,,2.9,1,-99,0,-9999,1,,,,,,,,,,,,,,,
,,7/31/2024,DCM1,6,2761,,PICMAR,,3.1,1,-99,0,-9999,1,,,,,,,,,,,,,,,
,,7/31/2024,DCM1,6,2762,,PICMAR,,2.9,1,-99,0,-9999,1,,,,,,,,,,,,,,,
,,7/31/2024,DCM1,6,2763,,PICMAR,,4.2,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM17_952,8/19/2014,7/31/2024,DCM1,7,952,,PICMAR,4.2,-9999,0,-99,0,-9999,0,missing tag,,,,,,,,,,,,,,
DCM17_953,8/19/2014,7/31/2024,DCM1,7,953,,PICMAR,8,9.2,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM17_954,8/19/2014,7/31/2024,DCM1,7,954,,PICMAR,6.6,8.1,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM17_955,8/19/2014,7/31/2024,DCM1,7,955,,PICGLA,4.8,7.4,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM17_956,8/19/2014,7/31/2024,DCM1,7,956,,PICMAR,6.4,7,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM17_957,8/19/2014,7/31/2024,DCM1,7,957,,PICMAR,11.8,-7777,0,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM17_958,8/19/2014,7/31/2024,DCM1,7,958,,PICGLA,5.9,6.4,1,4,0,-9999,1,,,,,,,,,,,,,,,
DCM17_959,8/19/2014,7/31/2024,DCM1,7,959,,PICGLA,3.8,-8888,1,-99,0,-9999,1,,,"not sure what happened here, no new dbh, I just put it as missing ",,,,,,,,,,,,
DCM17_960,8/19/2014,7/31/2024,DCM1,7,960,,PICMAR,10.5,11.5,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM17_961,8/19/2014,7/31/2024,DCM1,7,961,,PICGLA,11.3,11.7,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM17_962,8/19/2014,7/31/2024,DCM1,7,962,,PICGLA,6.8,7.9,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM17_963,8/19/2014,7/31/2024,DCM1,7,963,,PICMAR,4.3,-9999,0,-99,0,-9999,0,,,,,,,,,,,,,,,
DCM17_964,8/19/2014,7/31/2024,DCM1,7,964,,PICMAR,7.7,9.1,1,3,0,-9999,1,,,,,,,,,,,,,,,
DCM17_965,8/19/2014,7/31/2024,DCM1,7,965,,PICGLA,3.9,4.7,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM17_966,8/19/2014,7/31/2024,DCM1,7,966,,PICMAR,8.2,10.8,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM17_967,8/19/2014,7/31/2024,DCM1,7,967,,PICMAR,5.2,-7777,0,1,1,-9999,1,,,,,,,,,,,,,,,
DCM17_968,8/19/2014,7/31/2024,DCM1,7,968,,PICGLA,4.7,4,1,-99,0,-9999,1,previous dbh typo?,,,,,,,,,,,,,,
DCM17_969,8/19/2014,7/31/2024,DCM1,7,969,,PICGLA,3,3.3,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM17_970,8/19/2014,7/31/2024,DCM1,7,970,,PICGLA,8.1,8.8,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM17_971,8/19/2014,7/31/2024,DCM1,7,971,,PICGLA,5.2,5.6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM17_972,8/19/2014,7/31/2024,DCM1,7,972,,PICMAR,7.6,8.5,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM17_973,8/19/2014,7/31/2024,DCM1,7,973,,PICGLA,4.3,5.1,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM17_974,8/19/2014,7/31/2024,DCM1,7,974,,PICGLA,7.8,8.3,1,3,0,-9999,1,,,,,,,,,,,,,,,
DCM17_975,8/19/2014,7/31/2024,DCM1,7,975,,PICMAR,4.9,5,1,-99,1,-9999,1,,,,,,,,,,,,,,,
DCM17_976,8/19/2014,7/31/2024,DCM1,7,976,,PICGLA,6.5,7.3,1,-99,0,-9999,1,,,,,,,,,,,,,,,
,,7/31/2024,DCM1,7,2764,,PICMAR,,2.6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM18_721,8/19/2014,7/31/2024,DCM1,8,721,,PICMAR,7.1,10.2,1,-99,0,-9999,1,,"Previous tree was 987, next is 722.",,,,,,,,,,,,,
DCM18_722,8/19/2014,7/31/2024,DCM1,8,722,,PICMAR,3.1,4.8,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM18_723,8/19/2014,7/31/2024,DCM1,8,723,,PICGLA,3.8,4,1,2,0,-9999,1,,,,,,,,,,,,,,,
DCM18_977,8/19/2014,7/31/2024,DCM1,8,977,,PICMAR,6,-7777,0,5,0,-9999,1,,,,,,,,,,,,,,,
DCM18_978,8/19/2014,7/31/2024,DCM1,8,978,,PICMAR,6,8,1,2,0,-9999,1,,,,,,,,,,,,,,,
DCM18_979,8/19/2014,7/31/2024,DCM1,8,979,,PICMAR,2.4,5.4,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM18_980,8/19/2014,7/31/2024,DCM1,8,980,,PICMAR,8.1,-9999,0,-99,0,-9999,0,,,,,,,,,,,,,,,
DCM18_981,8/19/2014,7/31/2024,DCM1,8,981,,PICGLA,6.6,7.3,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM18_982,8/19/2014,7/31/2024,DCM1,8,982,,PICMAR,11,11.8,1,6,0,-9999,1,,,,,,,,,,,,,,,
DCM18_983,8/19/2014,7/31/2024,DCM1,8,983,,PICMAR,9.2,-7777,0,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM18_984,8/19/2014,7/31/2024,DCM1,8,984,,PICGLA,3.3,4,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM18_985,8/19/2014,7/31/2024,DCM1,8,985,,PICMAR,4.5,-7777,0,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM18_986,8/19/2014,7/31/2024,DCM1,8,986,,PICMAR,4.7,6.5,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM18_987,8/19/2014,7/31/2024,DCM1,8,987,,PICGLA,3.6,4.4,1,-99,0,-9999,1,,"Next tree is 721, going upwards to 800.",,,,,,,,,,,,,
,,7/31/2024,DCM1,8,2765,,PICMAR,,2.9,1,-99,0,-9999,1,,,,,,,,,,,,,,,
,,7/31/2024,DCM1,8,2766,,PICMAR,,2.6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM19_724,8/19/2014,7/31/2024,DCM1,9,724,,PICGLA,13.4,14.3,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM19_725,8/19/2014,7/31/2024,DCM1,9,725,,PICMAR,6,-9999,0,-99,0,-9999,0,,,,,,,,,,,,,,,
DCM19_726,8/19/2014,7/31/2024,DCM1,9,726,,PICGLA,7.8,8.2,1,4,0,-9999,1,,,,,,,,,,,,,,,
DCM19_727,8/19/2014,7/31/2024,DCM1,9,727,,PICMAR,4.8,-7777,0,3,0,-9999,1,,,,,,,,,,,,,,,
DCM19_728,8/19/2014,7/31/2024,DCM1,9,728,,PICMAR,5.4,6.5,1,2.5,0,-9999,1,,,,,,,,,,,,,,,
DCM19_729,8/19/2014,7/31/2024,DCM1,9,729,,PICGLA,6.2,6.9,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM19_730,8/19/2014,7/31/2024,DCM1,9,730,,PICGLA,4.6,6.1,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM19_731,8/19/2014,7/31/2024,DCM1,9,731,,PICGLA,6.2,7,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM19_732,8/19/2014,7/31/2024,DCM1,9,732,,PICGLA,7,7.6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM19_733,8/19/2014,7/31/2024,DCM1,9,733,,PICGLA,6.2,6.5,1,-99,0,-9999,1,,Lots of whites in this plot.,,,,,,,,,,,,,
DCM19_734,8/19/2014,7/31/2024,DCM1,9,734,,PICMAR,7.5,8.7,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM19_735,8/19/2014,7/31/2024,DCM1,9,735,,PICGLA,4.7,4.9,1,2,0,-9999,1,,,,,,,,,,,,,,,
DCM19_736,8/19/2014,7/31/2024,DCM1,9,736,,PICGLA,12.9,14,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM19_737,8/19/2014,7/31/2024,DCM1,9,737,,PICMAR,6.3,-9999,0,-99,0,-9999,0,,,,,,,,,,,,,,,
DCM19_738,8/19/2014,7/31/2024,DCM1,9,738,,PICMAR,2.8,4.7,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM19_739,8/19/2014,7/31/2024,DCM1,9,739,,PICGLA,4.9,5.9,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM19_740,8/19/2014,7/31/2024,DCM1,9,740,,PICGLA,4.2,5.1,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM19_741,8/19/2014,7/31/2024,DCM1,9,741,,PICGLA,8.2,9,1,3,0,-9999,1,,,,,,,,,,,,,,,
DCM19_742,8/19/2014,7/31/2024,DCM1,9,742,,PICMAR,11.5,12,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM19_743,8/19/2014,7/31/2024,DCM1,9,743,,PICMAR,3.8,5.1,1,-99,0,-9999,1,,Tree 744 is first in plot 11.,,,,,,,,,,,,,
,,7/31/2024,DCM1,9,2767,,PICMAR,,3.4,1,-99,0,-9999,1,,,,,,,,,,,,,,,
,,7/31/2024,DCM1,9,2768,,PICMAR,,2.6,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM111_744,8/19/2014,7/31/2024,DCM1,11,744,,PICMAR,15.5,17.2,1,-99,0,-9999,1,,,,,,,,,,,,,,,
DCM111_745,8/19/2014,7/31/2024,DCM1,11,745,,PICMAR,8.2,-9999,0,-99,0,-9999,0,,,,,,,,,,,,,,,
