sitename,slope,aspect,elevation,canopy_typ,topo,moist,severity,ph,sol,treeden,treeba,seedlingde,site_descr,directions,site_histo,location,n_dd,w_dd,ecoregion,filename,photoDescription,photoCredit,photoDate,prelimID,age,burn_year
BFY1,4,55,500,Hardwood,,SUBXERIC,2,0,0,33.33,0.02,37272.73,In 2004 this site burned in the Boundary fire.,This site is located on the Poker Flat Rocket Range (restricted access). Follow the main road 3.1 miles to its end at the top of the hill. Site is 230m NE.,"This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",Poker Flat Rocket Range,65.119979,-147.429158,Yukon-Tanana Uplands,BFY1_SitePano.jpg,Panoramic site photo of BFY1 (BF71).,Shalane Frost,9/23/2014,BF71,Young,2004
BFY10,11,347,445,Mixed,,SUBXERIC-MESIC,2,0,0,0,0,16045.45,In 2004 this site burned in the Boundary fire.,This site is located on the Poker Flat Rocket Range (restricted access). Follow the main road 2.6 miles toward its end at the top of the hill. Site is 140m north of the road.,"This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",Poker Flat Rocket Range,65.118669,-147.449411,Yukon-Tanana Uplands,BFY10_SitePano.jpg,Panoramic site photo of BFY10 (BF73).,Shalane Frost,9/27/2014,BF73,Young,2004
BFY11,13,280,260,Birch,,SUBXERIC,3,0,0,1516.67,0.99,162545.45,"In 2004 this site burned in the Boundary fire. In its last inventory (2014), the site was dominated by sapling birch.","Follow road into CPCRW (MP 31 Steese Hwy) for 1.4 miles. Site is on the east side of the road, 110m up-slope.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",CPCRW,65.148476,-147.471686,Yukon-Tanana Uplands,BFY11_SitePano.jpg,Panoramic site photo of BFY11 (BF82).,Shalane Frost,9/25/2014,BF82,Young,2004
BFY12,15,260,260,Birch,,SUBXERIC,2,0,0,583.33,0.36,166681.82,"In 2004 this site burned in the Boundary fire. In its last inventory (2014), the site was dominated by sapling birch.","Follow road into CPCRW (MP 31 Steese Hwy) for 1.3 miles. Site is on the east side of the road, 100m up-slope.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",CPCRW,65.147741,-147.470284,Yukon-Tanana Uplands,BFY12_SitePano.jpg,Panoramic site photo of BFY12 (BF83).,Shalane Frost,9/26/2014,BF83,Young,2004
BFY13,12,170,280,Birch,,SUBXERIC-MESIC,3,0,0,525,0.32,225409.09,"In 2004 this site burned in the Boundary fire. In its last inventory (2014), the site was dominated by sapling birch.","Follow road into CPCRW (MP 31 Steese Hwy) for 0.8 miles. Site is on the east side of the road, 200m up-slope.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"".",CPCRW,65.143817,-147.460553,Yukon-Tanana Uplands,BFY13_SitePano.jpg,Panoramic site photo of BFY13 (BF99).,Shalane Frost,9/27/2014,BF99,Young,2004
BFY4,9,272,260,Birch,,SUBXERIC-MESIC,3,0,0,5491.67,3.97,155363.64,"In 2004 this site burned in the Boundary fire. In its last inventory (2014), the site was dominated by sapling birch.","Follow road into CPCRW (MP 31 Steese Hwy) for 1.5 miles. Site is on the east side of the road, approximately 150m up-slope.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",CPCRW,65.14981,-147.47274,Yukon-Tanana Uplands,BFY4_SitePano.jpg,Panoramic site photo of BFY4 (BF81).,Shalane Frost,9/28/2014,BF81,Young,2004
BFY6,6,267,205,Birch,,MESIC,2,0,0,25,0.01,136045.45,"In 2004 this site burned in the Boundary fire. In its last inventory (2014), the site was dominated by sapling birch.","This site is located on the Poker Flat Rocket Range (restricted access). It can be accessed from mile 30.3 of the Steese Highway, south side.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",Poker Flat Rocket Range,65.130069,-147.477168,Yukon-Tanana Uplands,BFY6_SitePano.jpg,Panoramic site photo of BFY6 (BF77).,Shalane Frost,9/29/2014,BF77,Young,2004
BFY7,4,258,240,Black Spruce,,MESIC-SUBHYGRIC,1,0,0,41.67,0.04,73818.18,In 2004 this site burned in the Boundary fire.,"Follow road into CPCRW (MP 31 Steese Hwy) for 1.7 miles. Site is on the east side of the road, approximately 150m from the sharp corner.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",CPCRW,65.153652,-147.47723,Yukon-Tanana Uplands,BFY7_SitePano.jpg,Panoramic site photo of BFY7 (BF84).,Shalane Frost,9/26/2014,BF84,Young,2004
BFY8,1,185,695,Black Spruce,,MESIC,1,0,0,0,0,1181.82,In 2004 this site burned in the Boundary fire.,"Mile 1.5 of Nome Creek Road. Site is approximately 100m south of road. Note that while this site is accessible with a highway vehicle during the summer, snowmachines are needed for winter access.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",Nome Creek,65.349339,-146.667829,Yukon-Tanana Uplands,BFY8_SitePano.jpg,Panoramic site photo of BFY8 (BF61).,Shalane Frost,9/24/2014,BF61,Young,2004
BFY9,10,170,770,Black Spruce,,SUBXERIC-MESIC,1,0,0,183.33,0.5,90.91,In 2004 this site burned in the Boundary fire. It is currently a black spruce stand. Many relic trees exist.,"Mile 1.3 of Nome Creek Road. Site is approximately 400m north of road. Note that while this site is accessible with a highway vehicle during the summer, snowmachines are needed for winter access.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli",Nome Creek,65.353058,-146.675377,Yukon-Tanana Uplands,BFY9_SitePano.jpg,Panoramic site photo of BFY9 (BF63).,Shalane Frost,9/24/2014,BF63,Young,2004
DCM1,6,294,485,Black Spruce,,MESIC,NA,0,0,3545.45,1675,7.92,"This is a mixed stand, composed mainly of black spruce with some white spruce.","MP 88.8 Dalton Highway,  250m west of road. Parking at pipeline access, MP 88.5.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".","Dalton Hwy, between Yukon River and Coldfoot",66.240395,-150.312493,Ray Mountains,DCM1_SitePano.jpg,Panoramic site photo of DCM1 (Dalton).,Shalane Frost,8/19/2014,Dalton,Mature,Pre 1930
DCY1,2,215,135,Black Spruce,,SUBXERIC-MESIC,1,0,0,0,0,54590.91,In 2004 this site burned in the Dall City fire.,"MP 59 Dalton Highway, east side of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, near Yukon River",65.910596,-149.77952,Ray Mountains,DCY1_SitePano.jpg,Panoramic site photo of DCY1 (DC54).,Shalane Frost,9/2/2014,DC54,Young,2004
DCY10,3,75,390,Birch,,MESIC,3,0,0,0,0,73318.18,In 2004 this site burned in the Dall City fire.,"MP 85.8 Dalton Highway,150m west of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.207444,-150.236443,Ray Mountains,DCY10_SitePano.jpg,Panoramic site photo of DCY10 (DC37).,Shalane Frost,7/29/2014,DC37,Young,2004
DCY12,4,355,520,Black Spruce,,SUBXERIC-MESIC,1,0,0,133.33,0.22,4000,In 2004 this site burned in the Dall City fire.,"MP 90.7 Dalton Highway, 300m east of road. Parking at pipeline access, MP 90.7.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.265542,-150.333539,Ray Mountains,DCY12_SitePano.jpg,Panoramic site photo of DCY12 (DC33).,Shalane Frost,8/17/2014,DC33,Young,2004
DCY13,0,0,270,Mixed,,MESIC-SUBHYGRIC,1,0,0,0,0,65000,In 2004 this site burned in the Dall City fire.,"MP 81.9 Dalton Highway,  approximately 150m east of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.15537,-150.184437,Ray Mountains,DCY13_SitePano.jpg,Panoramic site photo of DCY13 (DC41).,Shalane Frost,8/19/2014,DC41,Young,2004
DCY14,0,0,170,Black Spruce,,SUBHYGRIC,1,0,0,0,0,20318.18,In 2004 this site burned in the Dall City fire,"MP 79.4 Dalton Highway,  approximately 150m east of road. Parking at No Name Creek, MP 79.1.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.120336,-150.1632,Ray Mountains,DCY14_SitePano.jpg,Panoramic site photo of DCY14 (DC47).,Shalane Frost,8/28/2014,DC47,Young,2004
DCY15,1,104,215,Aspen,,SUBXERIC-MESIC,3,0,0,416.67,0.28,35590.91,In 2004 this site burned in the Dall City fire.,"MP 78.5 Dalton Highway, approximately 150m east of road. Parking at sandy pullout, on opposite side of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.109119,-150.155465,Ray Mountains,DCY15_SitePano.jpg,Panoramic site photo of DCY15 (DC48).,Shalane Frost,8/29/2014,DC48,Young,2004
DCY16,4,210,220,Aspen,,XERIC,3,0,0,216.67,0.19,15590.91,In 2004 this site burned in the Dall City fire.,"MP 75.4 Dalton Highway, approximately 150m west of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.073353,-150.168267,Ray Mountains,DCY16_SitePano.jpg,Panoramic site photo of DCY16 (DC52).,Shalane Frost,8/30/2014,DC52,Young,2004
DCY17,5,186,150,Aspen,,SUBXERIC-MESIC,2,0,0,2383.33,1.64,64727.27,In 2004 this site burned in the Dall City fire.,"MP 57.7 Dalton Highway, approximately 150m east of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, near Yukon River",65.896067,-149.752832,Ray Mountains,DCY17_SitePano.jpg,Panoramic site photo of DCY17 (DC55).,Shalane Frost,8/31/2014,DC55,Young,2004
DCY2,5,85,445,Mixed,,MESIC-SUBHYGRIC,1,0,0,25,0.05,19909.09,In 2004 this site burned in the Dall City fire.,"MP 86.5 Dalton Highway. Turn west onto gravel pit access road, continue 250m. Site is 146m perpendicular to gravel pit access road, on north side.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.215182,-150.257716,Ray Mountains,DCY2_SitePano.jpg,Panoramic site photo of DCY2 (DC36).,Shalane Frost,8/18/2014,DC36,Young,2004
DCY3,7,155,206,Mixed,,SUBXERIC-MESIC,3,0,0,358.33,0.25,51090.91,In 2004 this site burned in the Dall City fire.,"MP 75.3 Dalton Highway, approximately 150m west of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.072254,-150.167891,Ray Mountains,DCY3_SitePano.jpg,Panoramic site photo of DCY3 (DC53).,Shalane Frost,8/30/2014,DC53,Young,2004
DCY4,2,15,220,Mixed,,SUBHYGRIC,1,0,0,0,0,19636.36,In 2004 this site burned in the Dall City fire.,"MP 78.1 Dalton Highway, approximately 150m east of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.105262,-150.151326,Ray Mountains,DCY4_SitePano.jpg,Panoramic site photo of DCY4 (DC49).,Shalane Frost,8/29/2014,DC49,Young,2004
DCY5,0,0,220,Aspen,,XERIC,3,0,0,525,0.36,56090.91,In 2004 this site burned in the Dall City fire.,"MP 78.6 Dalton Highway, approximately 150m east of road. Parking at sandy pullout, on opposite side of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.109679,-150.156852,Ray Mountains,DCY5_SitePano.jpg,Panoramic site photo of DCY5 (DC46).,Shalane Frost,8/28/2014,DC46,Young,2004
DCY6,0,0,250,Black Spruce,,SUBXERIC-MESIC,2,0,0,0,0,114090.91,In 2004 this site burned in the Dall City fire.,"MP 80.7 Dalton Highway, approximately 150m east of road. Parking at pipeline access road, MP 80.6.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.140521,-150.170408,Ray Mountains,DCY6_SitePano.jpg,Panoramic site photo of DCY6 (DC44).,Shalane Frost,9/1/2014,DC44,Young,2004
DCY7,0,0,260,Mixed,,SUBXERIC-MESIC,3,0,0,0,0,119681.82,In 2004 this site burned in the Dall City fire.,"MP 81.6 Dalton Highway, approximately 150m east of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.151718,-150.179563,Ray Mountains,DCY7_SitePano.jpg,Panoramic site photo of DCY7 (DC42).,Shalane Frost,7/28/2014,DC42,Young,2004
DCY8,0,0,280,Aspen,,MESIC,3,0,0,0,0,91000,In 2004 this site burned in the Dall City fire.,"MP 82.6 Dalton Highway, approximately 150m west of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.163658,-150.203584,Ray Mountains,DCY8_SitePano.jpg,Panoramic site photo of DCY8 (DC40).,Shalane Frost,7/28/2014,DC40,Young,2004
DCY9,1,231,300,Mixed,,MESIC,3,0,0,0,0,150409.09,In 2004 this site burned in the Dall City fire.,"MP 82.9 Dalton Highway, approximately 150m east of road.","This site was added to the Regional Site Network (RSN) in 2014 with the age class designation of ""Young"". Most young sites in the RSN, including this one, were purposefully collocated with existing sites from the Joint Fire Science Program (JFSP). Baseli","Dalton Hwy, between Yukon River and Coldfoot",66.168628,-150.20114,Ray Mountains,DCY9_SitePano.jpg,Panoramic site photo of DCY9 (DC39).,Shalane Frost,7/29/2014,DC39,Young,2004
DDM1,4,324,533,Black Spruce,,MESIC-SUBHYGRIC,NA,0,0,52954.55,3716.67,10.11,"This is a mesic-subhygric, black spruce site.","This site is located in the Donnelly Training area, unit 512 (restricted access).  From Richardson Hwy, turn east at MP 252.5, and continue east for 0.5miles. Site is 400m south.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Donnelly Dome,63.84662,-145.723333,Tanana-Kuskokwim Lowlands,DDM1_SitePano.jpg,Panoramic site photo of DDM1 (TKN0126).,Shalane Frost,10/2/2014,TKN0126,Mature,Pre 1930
DDM2,0,0,500,Black Spruce,,XERIC,NA,0,0,24954.55,3716.67,11.46,"This is a xeric, black spruce site.","This site is located in the Donnelly Training area, unit 513 (restricted access).  From Richardson Hwy, turn east at MP 257.5 (Meadows Road), and continue east for 2 miles. At the T, turn south and continue for 2 miles. Site is approximately 150m to the e","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Donnelly Dome,63.89178,-145.74101,Tanana-Kuskokwim Lowlands,,,,,TKN0124,Mature,Pre 1930
FP5A,0,0,133,Black Spruce,,SUBXERIC-MESIC,NA,0,0,5909.09,1283.33,12.15,"This is a subxeric-mesic, black spruce site on the Tanana River floodplain.","FP5A is located on the east side of Seven Mile Island, directly across the Tanana River from the termination of BCEF Road.","This study site was established in 1987 as an LTER site. In 2013, this site was added to the Regional Site Network (RSN) with the age class designation of ""Mature"".","Tanana R., W side of Seven Mile Island behind Yarie clearcut",64.681479,-148.249062,Tanana-Kuskokwim Lowlands,FP5A_SitePano.jpg,Panoramic site photo of FP5A (BCEFM1).,Shalane Frost,6/26/2014,FP5A,Mature,Pre 1930
FP5C,0,0,135,Birch,,SUBXERIC-MESIC,3,0,0,0,0,53227.27,FP5C is located on an older terrace of the Tanana River on the south side of the river opposite Sam Charley Island.  The climate station and neighboring research plots were burned in August of 2010 by the Willow Creek Wildfire.,South side of the Tanana River opposite Sam Charley Island complex.,"The study site was established in 1987 as an LTER site and is adjacent to a permanent plot established by L.A. Viereck (LAV #1133) in 1965. Soil and air temperature measurements at the site were started in 1992. In 2013, this site was added to the Region","Tanana R., S side of river opposite Sam Charley Island",64.713614,-148.147263,Tanana-Kuskokwim Lowlands,FP5C_SitePano.jpg,Panoramic site photo of FP5C (BCEFY3).,Shalane Frost,6/12/2014,FP5C,Young,2010
FP5D,0,0,135,Black Spruce,,MESIC,NA,0,0,28636.36,3025,8.58,"This is a mesic, black spruce site on the Tanana River floodplain.",FP5D is located on the north side of the Tanana River across from the Sam Charlie Island complex.,"This study site was established in 1987 as an LTER site. In 2013, this site was added to the Regional Site Network (RSN) with the age class designation of ""Mature"".",N side of Tanana R. behind Sam Charley I.,64.72541,-148.19274,Yukon-Tanana Uplands,FP5D_SitePano.jpg,Panoramic site photo of FP5D (BCEFM3).,Shalane Frost,9/11/2014,FP5D,Mature,Pre 1930
GRI1,0,0,552,Black Spruce,Depression,SUBHYGRIC,NA,7.09,50,1866.67,2.71,9954.55,In 1947 this site burned in the Gerstle River fire. It is now an open black spruce stand with some birch. Permafrost is currently present at this site.,"This site is inside the Gerstle River training area (restricted access). At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) on to access road for the Gerstle River Training Area. Continue 3.7 miles to the training a","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Gerstle River,63.772116,-145.079202,Tanana-Kuskokwim Lowlands,GRI1_Site.jpg,Site photo of GRI1 (GR-9).,Shalane Frost,10/2/2013,GR-9,Intermediate,1947
GRI2,1,14,575,Aspen,Flat,MESIC,NA,8.15,10.22,1766.67,23.56,62590.91,In 1947 this site burned in the Gerstle River fire. It is now dominated by aspen with an understory of black spruce.,"This site is inside the Gerstle River training area (restricted access). At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) on to access road for the Gerstle River Training Area. Continue 3.7 miles to the training a","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Gerstle River,63.787588,-145.055334,Tanana-Kuskokwim Lowlands,GRI2_Site.jpg,Site photo of GRI2 (GR-2).,Shalane Frost,10/2/2013,GR-2,Intermediate,1947
GRI3,1,14,504,Aspen,Toe Slope,MESIC,NA,7.45,10.45,2575,27.9,41772.73,In 1947 this site burned in the Gerstle River fire. It is now comprised mainly of black spruce with some aspen.,"This site is inside the Gerstle River training area (restricted access). At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) on to access road for the Gerstle River Training Area. Continue 3.7 miles to the training a","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Gerstle River,63.791346,-145.041859,Tanana-Kuskokwim Lowlands,GRI3_Site.jpg,Site photo of GRI3 (GR-1).,Shalane Frost,10/2/2013,GR-1,Intermediate,1947
GRI4,1,71,500,Birch,Flat,MESIC,NA,8.1,8.8,5283.33,26.76,9318.18,In 1947 this site burned in the Gerstle River fire. It is now a mixed stand comprised of black spruce and birch.,"This site is inside the Gerstle River training area (restricted access). At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) on to access road for the Gerstle River Training Area. Continue 3.7 miles to the training a","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Gerstle River,63.793417,-145.054202,Tanana-Kuskokwim Lowlands,GRI4_Site.jpg,Site photo of GRI4 (GR-6).,Shalane Frost,10/2/2013,GR-6,Intermediate,1947
