Site,YearBurn,Transect,AgeClass,Subsection,Spp,Cat,TS,BD_cm,DBH_cm,Alive,Notes
GC,87,1,Int,40_60,PM,Evg,Tree,2.2,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.5,,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,1.4,,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,0.3,,Y,
GC,87,1,Int,40_60,SA,Dec,Shrub,0.9,,Y,
GC,87,1,Int,40_60,SA,Dec,Shrub,1.3,,Y,
GC,87,1,Int,40_60,SA,Dec,Shrub,1.5,,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,0.1,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.5,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.6,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.6,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.9,,Y,
GC,87,1,Int,60_80,SA,Dec,Shrub,1.2,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,60_80,SA,Dec,Shrub,4,,Y,
GC,87,1,Int,60_80,SA,Dec,Shrub,1.1,,Y,
GC,87,1,Int,60_80,SA,Dec,Shrub,1.5,,Y,
GC,87,1,Int,60_80,SA,Dec,Shrub,1.3,,Y,
GC,87,1,Int,60_80,SA,Dec,Shrub,0.6,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,1.4,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,1.6,,Y,
GC,87,1,Int,60_80,PM,Evg,Tree,0.1,,Y,
GC,87,1,Int,60_80,PM,Evg,Tree,0.1,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,1.1,,Y,
GC,87,1,Int,60_80,PM,Evg,Tree,1.6,,N,
GC,87,1,Int,60_80,PT,Dec,Tree,0.8,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,1.2,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.2,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.1,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.6,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.5,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,1.5,,N,
GC,87,1,Int,60_80,PT,Dec,Tree,0.9,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.9,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.2,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,60_80,PM,Evg,Tree,0.3,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.1,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,1.1,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.7,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,,1.1,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,,1.3,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,4.5,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,1,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,1,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,0.9,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,1.2,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,1.1,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,1.3,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.6,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.9,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,1.2,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.1,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,0.2,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,0.9,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,1,,N,
GC,87,1,Int,80_100,PT,Dec,Tree,1.3,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.2,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.5,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.1,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.5,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.7,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.5,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.2,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.2,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,1.6,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.2,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.5,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.2,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.2,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.7,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.8,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.6,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.9,,N,
GC,87,1,Int,80_100,PT,Dec,Tree,0.4,,N,
GC,87,1,Int,80_100,PT,Dec,Tree,1.1,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,1.2,,N,
GC,87,1,Int,80_100,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,1.2,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,0.8,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,1,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.6,,N,
GC,87,1,Int,80_100,PT,Dec,Tree,0.9,,N,
GC,87,1,Int,80_100,PT,Dec,Tree,0.7,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.9,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,1.2,,N,
GC,87,1,Int,80_100,PT,Dec,Tree,0.5,,N,
GC,87,1,Int,80_100,PT,Dec,Tree,0.6,,N,
GC,87,1,Int,80_100,PT,Dec,Tree,1.4,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.4,,N,
GC,87,1,Int,80_100,PT,Dec,Tree,0.3,,N,
GC,87,1,Int,80_100,PT,Dec,Tree,0.7,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,1,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.8,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,1.1,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.4,,N,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.4,,N,
GC,87,1,Int,80_100,SA,Dec,Shrub,1.2,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.3,,N,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.5,,N,
GC,87,1,Int,80_100,SA,Dec,Shrub,2,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,0.8,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.8,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.7,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.6,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,1.2,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,1.2,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,,2,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,,4.5,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,,7.8,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,,7.8,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,,6.3,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,0.5,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.9,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.1,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,2.3,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,2,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,1,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.5,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,1,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,1.2,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.5,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,2.3,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.8,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,1.1,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.4,,N,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.4,,N,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.4,,N,
GC,87,1,Int,80_100,PM,Evg,Tree,,1.2,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,,0.9,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,,1,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,1.4,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.5,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.5,,Y,
GC,87,1,Int,80_100,PT,Dec,Tree,1.9,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.9,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.9,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,1,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,1.3,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,0.5,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.6,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,0.9,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,2,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,2.7,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,4.4,,Y,
GC,87,1,Int,80_100,PM,Evg,Tree,1.2,,Y,
GC,87,1,Int,80_100,SA,Dec,Shrub,1.2,,Y,
GC,87,1,Int,60_80,BN,Dec,Tree,,2,Y,
GC,87,1,Int,60_80,BN,Dec,Tree,,1,Y,
GC,87,1,Int,60_80,SA,Dec,Shrub,0.6,,Y,
GC,87,1,Int,60_80,BN,Dec,Tree,1.7,,Y,
GC,87,1,Int,60_80,PM,Evg,Tree,0.6,,Y,
GC,87,1,Int,60_80,SA,Dec,Shrub,0.5,,Y,
GC,87,1,Int,60_80,PM,Evg,Tree,3,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,60_80,SA,Dec,Shrub,1,,Y,
GC,87,1,Int,60_80,SA,Dec,Shrub,0.3,,Y,
GC,87,1,Int,60_80,SA,Dec,Shrub,0.9,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,60_80,SA,Dec,Shrub,0.3,,Y,
GC,87,1,Int,60_80,PM,Evg,Tree,1.8,,Y,
GC,87,1,Int,60_80,PM,Evg,Tree,0.9,,Y,
GC,87,1,Int,60_80,SA,Dec,Shrub,0.4,,Y,
GC,87,1,Int,60_80,SA,Dec,Shrub,1.2,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,,7.7,Y,
GC,87,1,Int,60_80,PM,Evg,Tree,,3.8,N,
GC,87,1,Int,60_80,PM,Evg,Tree,0.5,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.5,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,60_80,PM,Evg,Tree,2.5,,Y,
GC,87,1,Int,60_80,PM,Evg,Tree,1.8,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.9,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.6,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.7,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.7,,Y,
GC,87,1,Int,60_80,PM,Evg,Tree,0.6,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.6,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.6,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.7,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,60_80,PT,Dec,Tree,0.3,,N,
GC,87,1,Int,60_80,PT,Dec,Tree,0.8,,Y,
GC,87,1,Int,60_80,PM,Evg,Tree,,1.1,N,
GC,87,1,Int,40_60,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.9,,N,
GC,87,1,Int,40_60,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.9,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.7,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.8,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,1,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,1.3,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.5,,Y,
GC,87,1,Int,40_60,SA,Dec,Shrub,1.8,,Y,
GC,87,1,Int,40_60,SA,Dec,Shrub,5,,Y,
GC,87,1,Int,40_60,SA,Dec,Shrub,3,,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,0.8,,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,1.2,,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,1.8,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,1.2,,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,0.8,,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,1,,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,1.2,,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,0.5,,Y,
GC,87,1,Int,40_60,PM,Evg,Tree,1.7,,Y,
GC,87,1,Int,40_60,PT,Dec,Tree,1.2,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,1.3,,Y,
GC,87,1,Int,20_40,PM,Evg,Tree,1,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.7,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.2,,Y,
GC,87,1,Int,20_40,PM,Evg,Tree,0.4,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.4,,Y,
GC,87,1,Int,20_40,SA,Dec,Shrub,1.2,,Y,
GC,87,1,Int,20_40,SA,Dec,Shrub,1,,N,
GC,87,1,Int,20_40,PM,Evg,Tree,,4.5,N,
GC,87,1,Int,20_40,PT,Dec,Tree,0.5,,Y,
GC,87,1,Int,20_40,PM,Evg,Tree,,7,N,
GC,87,1,Int,20_40,SA,Dec,Shrub,2.8,,Y,
GC,87,1,Int,20_40,SA,Dec,Shrub,2.5,,Y,
GC,87,1,Int,20_40,SA,Dec,Shrub,4,,Y,
GC,87,1,Int,20_40,PT,Dec,Tree,0.3,,Y,
GC,87,1,Int,20_40,PM,Evg,Tree,0.3,,Y,
GC,87,1,Int,20_40,PM,Evg,Tree,,5.5,N,
GC,87,1,Int,20_40,PT,Dec,Tree,0.6,,Y,
GC,87,1,Int,20_40,PM,Evg,Tree,,6.5,N,
GC,87,1,Int,0_20,PM,Evg,Tree,0.7,,Y,
GC,87,1,Int,0_20,SA,Dec,Shrub,0.3,,Y,
GC,87,1,Int,0_20,PM,Evg,Tree,1.8,,Y,
GC,87,1,Int,0_20,PT,Dec,Tree,0.6,,Y,
GC,87,2,Int,0_20,SA,Dec,Shrub,2.5,,Y,
GC,87,2,Int,0_20,SA,Dec,Shrub,2.6,,Y,
GC,87,2,Int,0_20,SA,Dec,Shrub,1.3,,Y,
GC,87,2,Int,0_20,SA,Dec,Shrub,1.2,,Y,
GC,87,2,Int,0_20,SA,Dec,Shrub,2.1,,Y,
GC,87,2,Int,0_20,PM,Evg,Tree,,7.7,N,
GC,87,2,Int,0_20,PM,Evg,Tree,4.2,,N,
GC,87,2,Int,0_20,PM,Evg,Tree,2.5,,N,
GC,87,2,Int,0_20,PM,Evg,Tree,,4.1,N,
GC,87,2,Int,0_20,PM,Evg,Tree,,4.5,N,
GC,87,2,Int,0_20,PM,Evg,Tree,,3.2,N,
GC,87,2,Int,0_20,PM,Evg,Tree,,2.2,N,
GC,87,2,Int,20_40,PM,Evg,Tree,2.1,,Y,
GC,87,2,Int,20_40,PT,Dec,Tree,0.2,,Y,
GC,87,2,Int,20_40,PM,Evg,Tree,,5.9,N,
GC,87,2,Int,20_40,PM,Evg,Tree,,2.2,N,
GC,87,2,Int,20_40,PT,Dec,Tree,0.6,,Y,
GC,87,2,Int,20_40,PM,Evg,Tree,,4.8,N,
GC,87,2,Int,20_40,PM,Evg,Tree,0.4,,Y,
GC,87,2,Int,20_40,SA,Dec,Shrub,4.2,,Y,
GC,87,2,Int,20_40,SA,Dec,Shrub,2.5,,Y,
GC,87,2,Int,20_40,SA,Dec,Shrub,7.1,,Y,
GC,87,2,Int,20_40,PM,Evg,Tree,,2.8,N,
GC,87,2,Int,20_40,PM,Evg,Tree,0.7,,Y,
GC,87,2,Int,20_40,PM,Evg,Tree,,2.1,N,
GC,87,2,Int,20_40,PM,Evg,Tree,,2.7,N,Basal in inches?
GC,87,2,Int,20_40,PM,Evg,Tree,,4,N,
GC,87,2,Int,20_40,PM,Evg,Tree,1.6,,N,
GC,87,2,Int,20_40,PM,Evg,Tree,1.7,,N,
GC,87,2,Int,20_40,PM,Evg,Tree,3.3,,N,
GC,87,2,Int,20_40,PM,Evg,Tree,0.3,,Y,
GC,87,2,Int,20_40,PM,Evg,Tree,,4.9,N,
GC,87,2,Int,20_40,PM,Evg,Tree,,2.8,N,
GC,87,2,Int,20_40,PM,Evg,Tree,,2.1,N,
GC,87,2,Int,20_40,PM,Evg,Tree,,3.5,N,
GC,87,2,Int,20_40,PM,Evg,Tree,,1.3,N,
GC,87,2,Int,20_40,PM,Evg,Tree,,0.5,N,
GC,87,2,Int,20_40,PM,Evg,Tree,3.3,,N,
GC,87,2,Int,20_40,PM,Evg,Tree,,1.9,N,
GC,87,2,Int,20_40,PM,Evg,Tree,,4.4,N,
GC,87,2,Int,20_40,PM,Evg,Tree,,2.2,N,
GC,87,2,Int,20_40,PM,Evg,Tree,3.1,,N,
GC,87,2,Int,20_40,PM,Evg,Tree,2.9,,N,
GC,87,2,Int,20_40,PM,Evg,Tree,2.4,,N,
GC,87,2,Int,20_40,PM,Evg,Tree,3.3,,N,
GC,87,2,Int,20_40,PM,Evg,Tree,3.1,,N,
GC,87,2,Int,20_40,PM,Evg,Tree,2.4,,N,
GC,87,2,Int,20_40,PM,Evg,Tree,3.6,,N,
GC,87,2,Int,20_40,PM,Evg,Tree,,4,N,
GC,87,2,Int,20_40,PM,Evg,Tree,,0.9,N,
GC,87,2,Int,20_40,PM,Evg,Tree,,4.1,N,
GC,87,2,Int,40_60,PM,Evg,Tree,,3.9,N,
GC,87,2,Int,40_60,PM,Evg,Tree,0.8,,Y,
GC,87,2,Int,40_60,SA,Dec,Shrub,2.2,,Y,
GC,87,2,Int,40_60,SA,Dec,Shrub,2,,Y,
GC,87,2,Int,40_60,SA,Dec,Shrub,1.3,,Y,
GC,87,2,Int,40_60,PM,Evg,Tree,,3.4,N,
GC,87,2,Int,40_60,PM,Evg,Tree,,0.7,N,
GC,87,2,Int,40_60,PT,Dec,Tree,1,,Y,
GC,87,2,Int,40_60,SA,Dec,Shrub,2.3,,Y,
GC,87,2,Int,40_60,SA,Dec,Shrub,2.8,,Y,
GC,87,2,Int,40_60,SA,Dec,Shrub,1.2,,Y,
GC,87,2,Int,40_60,PM,Evg,Tree,0.7,,Y,
GC,87,2,Int,40_60,PM,Evg,Tree,0.8,,Y,
GC,87,2,Int,40_60,PM,Evg,Tree,6.6,,N,
