Site,Description,Type,Year Added
GRI3,In 1947 this site burned in the Gerstle River fire. It is now comprised mainly of black spruce with some aspen.,Intermediate,2011
GRI4,In 1947 this site burned in the Gerstle River fire. It is now a mixed stand comprised of black spruce and birch.,Intermediate,2011
GRI5,In 1947 this site burned in the Gerstle River fire. Its overstory is now dominated by aspen and its understory by black spruce.,Intermediate,2011
GRI6,In 1947 this site burned in the Gerstle River fire. It is now a mixed stand of black spruce and aspen.,Intermediate,2011
GRI7,"In 1947 this site burned in the Gerstle River fire. Its overstory is now dominated by aspen, and it has an open black spruce understory.",Intermediate,2011
GRM1,"This is a mesic, black spruce site.",Mature,2013
GRM2,"This mature black spruce stand is located adjacent to other intermediate Gerstle River GR sites, in an area that did not burn in the 1947 Gerstle fire.",Mature,2013
GRM3,"This is a mesic-subhygric, black spruce site.",Mature,2013
GRM4,"This is a subxeric-mesic, black spruce site.",Mature,2013
GSI1,In 1966 this site burned in the Goldstream fire. It is now a black spruce stand.,Intermediate,2011
GSI2,In 1966 this site burned in the Goldstream fire. It is now an open black spruce stand.,Intermediate,2011
GSI3,In 1966 this site burned in the Goldstream fire. It is now a black spruce stand.,Intermediate,2011
GSM1,This is a lowland black spruce site.,Mature,2013
GSM2,"This is a xeric, black spruce site.",Mature,2013
GSM3,"This is a subhygric, black spruce site. The organic layer at this here is over 3.5m deep.",Mature,2013
GSM4,"This is a subxeric-mesic, black spruce site.",Mature,2013
GSM5,"This is a subxeric, black spruce site.",Mature,2013
LGI1,"In 1958 this site burned in the Livengood fire. It is now an open, mixed stand of black and white spruce.",Intermediate,2011
LGI2,"In 1958 this site burned in the Livengood fire. It is now a mixed stand composed mainly of black spruce, with some birch and white spruce.",Intermediate,2011
MDI1,In 1958 this site burned in the Murphy Dome fire. It is now a black spruce stand with a birch component.,Intermediate,2011
MDI2,In 1958 this site burned in the Murphy Dome fire. It is now a mixed black spruce / birch stand.,Intermediate,2011
MDI3,In 1958 this site burned in the Murphy Dome fire. It is now a birch stand with black spruce component.,Intermediate,2011
MDI4,"In 1958 this site burned in the Murphy Dome fire. It is now a dense, mixed stand composed mainly of black spruce with some birch and aspen.",Intermediate,2011
MDI5, In 1958 this site burned in the Murphy Dome fire. It is now an open black spruce stand.,Intermediate,2011
MDM1,"This mature black spruce stand is located adjacent to the other Murphy Dome MD sites, in an area that did not burn in the 1958 Murphy Dome fire.",Mature,2013
NRM1,This is a lowland black spruce site.,Mature,2013
NRM2,"This is a mesic-subhygric, black spruce site.",Mature,2013
SL1A,No metadata,Un-Identifed,No metadata
TRM1,"This is a subxeric-mesic, black spruce site.",Mature,2013
TRM2,"This is a subhygric, black spruce site.",Mature,2013
TRM3,"This is a subhygric, black spruce site.",Mature,2013
TRM4,"This is a subhygric, black spruce site.",Mature,2013
UP1A,UP1A was established to follow the development of vegetation following the burning of a well developed 200 year old white spruce stand on a south facing slope. The vegetation has progressed from an herbaceous community following the fire to an open hardwood stand.,Un-Identifed,1983
UP1B,Young Paper Birch/Shrub/Herbaceous Stand,Un-Identifed,1983
UP1C,Young Aspen Forest,Un-Identifed,1983
UP2A,Closed Mixed White Spruce - Paper Birch Stand,Un-Identifed,1987
UP2B,Closed Mixed White Spruce - Paper Birch Stand,Un-Identifed,1987
UP2C,Closed Mixed Aspen - White Spruce Stand,Un-Identifed,1987
UP3A,Mature white spruce spruce stand on a south-facing slope,Un-Identifed,1975
UP3B,Closed White Spruce Forest,Un-Identifed,1987
UP3C,Closed White Spruce Forest,Un-Identifed,1987
UP4A,"This is a subxeric-mesic, black spruce site.",Mature,2004/2013
UP4B,"This is a subxeric-mesic, black spruce site.",Mature,2004/2013
UP4C,"This is a subhygric, black spruce site.",Mature,2004/2013
UP4D,"This is a subxeric-mesic, black spruce site.",Mature,2004/2013
WCM1,"This is a subhygric, black spruce site.",Mature,2013
WCM2,"This is a subhygric, black spruce site.",Mature,2013
WCM3,"This is a subhygric, black spruce site.",Mature,2013
WCM4,"This is a subxeric, black spruce site.",Mature,2013
WDI1,In 1971 this site burned in the Wickersham Dome fire. It is now a black spruce stand.,Intermediate,2011
WDI2,In 1971 this site burned in the Wickersham Dome fire. It is now a birch stand with some black spruce.,Intermediate,2011
WDI3,In 1971 this site burned in the Wickersham Dome fire. It is now a black spruce stand with some birch.,Intermediate,2011
WDI4,In 1971 this site burned in the Wickersham Dome fire. It is now a birch stand with some black spruce.,Intermediate,2011
WDI5,In 1971 this site burned in the Wickersham Dome fire. It is now a mixed aspen / black spruce stand with some birch.,Intermediate,2011
WDI6,In 1971 this site burned in the Wickersham Dome fire. It is now an aspen stand.,Intermediate,2011
YRM1,"This is a subxeric-mesic, black spruce site.",Mature,2013
